Date,Close
2021-11-16,424.58
2021-11-17,420.74
2021-11-18,461.76
2021-11-19,478.86
2021-11-22,492.6
2021-11-23,488.94
2021-11-24,487.79
2021-11-25,487.6
2021-11-26,485.68
2021-11-29,480.49
2021-11-30,481.64
2021-12-01,349.08
2021-12-02,438.42
2021-12-03,482.03
2021-12-04,480.3
2021-12-05,501.05
2021-12-07,552.15
2021-12-08,486.26
2021-12-10,392.21
2021-12-11,416.61
2021-12-13,485.5
2021-12-14,489.1
2021-12-15,483.5
2021-12-16,499.1
2021-12-17,496.3
2021-12-20,503.6
2021-12-21,502.8
2021-12-22,504.6
2021-12-23,511.2
2021-12-24,507.0
2021-12-29,521.4
2021-12-30,515.0
2021-12-31,506.0
2022-01-02,445.6
2022-01-03,387.8
2022-01-04,328.5
2022-01-06,300.3
2022-01-07,270.3
2022-01-08,281.8
2022-01-09,253.6
2022-01-11,207.1
2022-01-12,232.3
2022-01-13,526.2
2022-01-14,496.5
2022-01-17,507.0
2022-01-18,498.3
2022-01-19,491.5
2022-01-20,473.7
2022-01-21,461.7
2022-01-24,436.6
2022-01-25,442.3
2022-01-26,430.8
2022-01-27,435.2
2022-01-28,432.1
2022-01-31,440.4
2022-02-02,448.2
2022-02-03,359.0
2022-02-08,275.5
2022-02-09,259.7
2022-02-11,203.0
2022-02-12,234.5
2022-02-14,430.0
2022-02-15,437.9
2022-02-16,426.2
2022-02-17,421.7
2022-02-18,419.1
2022-02-21,414.3
2022-02-22,402.2
2022-02-23,390.0
2022-02-24,370.9
2022-02-25,387.3
2022-02-28,392.7
2022-03-02,438.9
2022-03-03,361.0
2022-03-05,341.6
2022-03-08,280.5
2022-03-10,196.4
2022-03-11,194.75
2022-03-14,359.8
2022-03-15,363.5
2022-03-16,371.7
2022-03-17,363.6
2022-03-18,371.0
2022-03-21,367.9
2022-03-22,370.9
2022-03-23,354.6
2022-03-24,361.1
2022-03-25,360.1
2022-03-28,354.7
2022-03-29,355.3
2022-03-30,345.5
2022-03-31,329.0
2022-04-01,523.0
2022-04-02,429.2
2022-04-03,353.0
2022-04-04,331.8
2022-04-05,341.9
2022-04-07,267.8
2022-04-08,277.1
2022-04-10,207.0
2022-04-11,201.9
2022-04-13,329.6
2022-04-14,329.1
2022-04-19,338.5
2022-04-20,338.8
2022-04-21,354.7
2022-04-22,353.6
2022-04-25,351.7
2022-04-26,334.9
2022-04-27,339.3
2022-04-28,346.4
2022-04-29,344.6
2022-05-01,526.8
2022-05-04,332.5
2022-05-05,337.1
2022-05-07,269.1
2022-05-08,279.9
2022-05-09,254.5
2022-05-10,197.65
2022-05-12,225.1
2022-05-13,338.1
2022-05-16,334.9
2022-05-17,343.8
2022-05-18,342.4
2022-05-19,300.0
2022-05-20,315.4
2022-05-23,332.0
2022-05-24,313.7
2022-05-25,313.7
2022-05-26,327.3
2022-05-27,321.0
2022-05-30,328.9
2022-05-31,310.6
2022-06-01,522.4
2022-06-04,328.3
2022-06-05,326.7
2022-06-06,312.1
2022-06-07,267.7
2022-06-09,260.9
2022-06-10,203.4
2022-06-12,222.5
2022-06-13,273.2
2022-06-14,273.7
2022-06-15,282.0
2022-06-16,270.0
2022-06-17,272.0
2022-06-20,281.1
2022-06-21,273.4
2022-06-22,273.5
2022-06-23,278.6
2022-06-24,281.4
2022-06-27,280.9
2022-06-28,283.3
2022-06-29,268.3
2022-06-30,269.7
2022-07-01,518.8
2022-07-02,436.4
2022-07-03,339.5
2022-07-04,324.3
2022-07-06,307.3
2022-07-07,272.8
2022-07-09,257.4
2022-07-10,201.8
2022-07-11,216.3
2022-07-12,217.6
2022-07-13,270.1
2022-07-14,264.6
2022-07-15,275.2
2022-07-18,277.1
2022-07-19,285.0
2022-07-20,285.6
2022-07-21,290.0
2022-07-22,290.8
2022-07-25,294.5
2022-07-26,288.3
2022-07-27,287.8
2022-07-28,276.9
2022-07-29,282.8
2022-08-02,439.1
2022-08-03,348.7
2022-08-04,330.3
2022-08-06,291.4
2022-08-07,273.7
2022-08-08,276.4
2022-08-09,251.8
2022-08-11,229.3
2022-08-12,210.7
2022-08-15,269.2
2022-08-16,272.4
2022-08-17,271.7
2022-08-18,270.9
2022-08-19,267.0
2022-08-22,261.3
2022-08-23,261.5
2022-08-24,261.3
2022-08-25,266.1
2022-08-26,267.0
2022-08-30,275.3
2022-08-31,275.5
2022-09-02,448.6
2022-09-03,348.0
2022-09-05,322.4
2022-09-06,285.4
2022-09-08,266.4
2022-09-09,259.1
2022-09-11,231.6
2022-09-12,212.6
2022-09-13,263.5
2022-09-14,251.4
2022-09-15,249.9
2022-09-16,229.7
2022-09-20,214.4
2022-09-21,214.9
2022-09-22,204.6
2022-09-23,196.45
2022-09-26,195.85
2022-09-27,194.05
2022-09-28,187.2
2022-09-29,183.2
2022-09-30,184.45
2022-10-01,502.4
2022-10-02,440.6
2022-10-03,346.9
2022-10-05,326.0
2022-10-06,279.1
2022-10-08,269.3
2022-10-10,203.7
2022-10-11,237.5
2022-10-13,209.7
2022-10-14,187.75
2022-10-17,195.9
2022-10-18,196.65
2022-10-19,196.5
2022-10-20,201.1
2022-10-21,190.1
2022-10-24,191.55
2022-10-25,195.2
2022-10-26,201.7
2022-10-27,201.6
2022-10-28,193.8
2022-10-31,202.3
2022-11-01,512.4
2022-11-02,442.9
2022-11-03,352.2
2022-11-04,329.3
2022-11-05,326.0
2022-11-07,270.1
2022-11-08,268.1
2022-11-10,206.9
2022-11-11,247.5
